model,parameter_value,a,b,K0,n,n_over_n0,eps,mu_b,P,dP_dn,d2eps_dn2,vs2,quark_fraction,n_q,n_n,k_bu,k_f,label,target_k0,energy_per_baryon_minus_mn
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.33966043165467624,2.1228776978417265,320.96018701347873,1049.9209979080335,35.68593471337278,591.4465393723654,1711.448613541256,0.5633248030573937,0.0033359231682922926,0.0011330811033089952,0.33852735055136723,0.3147024696280668,2.443012019194055,k0_280,280.0,6.944294658938816
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.34541467625899275,2.1588417266187045,327.03002342138706,1060.147567925366,39.24837608674322,649.0938113789086,1842.9953562757726,0.6122674154213639,0.00392832236704645,0.0013569001986543097,0.34405777606033844,0.34429433885608096,2.4826789642862854,k0_280,280.0,8.775125374751497
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.3511689208633093,2.194805755395683,333.1608838585064,1071.1598302754048,43.15602383701746,711.1970954423572,1984.5313156988789,0.663950491178802,0.004625593269147072,0.0016243645966789642,0.34954455626663034,0.3765842241163552,2.523421615549065,k0_280,280.0,10.719730206955205
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.35692316546762587,2.2307697841726615,339.35745476883284,1083.012392033011,47.43318018485281,777.1244747735957,2135.057812893241,0.7175582481699879,0.005447239766341887,0.0019442460604638771,0.354978919407162,0.4118455004933342,2.565279051288001,k0_280,280.0,12.78573654422462
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.3626774100719424,2.26673381294964,345.6247202850342,1095.7510880778755,52.09955246871402,845.9040437264782,2292.524579175521,0.7719855840712243,0.006417179581937309,0.0023273660707435733,0.3603500440011988,0.45039973966945673,2.6082802508368945,k0_280,280.0,14.98110851865431
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.36843165467625894,2.3026978417266184,351.967894341325,1109.4064114640987,57.16825774361806,916.2231027884053,2453.649532361214,0.8258678634994124,0.007565389999621887,0.0027873291558319136,0.365644325520427,0.4926395276075123,2.652437707461106,k0_280,280.0,17.313936449351445
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.3741858992805755,2.338661870503597,358.39231199935716,1123.986373491508,62.64389615985474,986.453675233716,2613.900782226448,0.87763846475241,0.00892473408735199,0.003339509650315811,0.3708463896302597,0.5388910423080444,2.6977489873505234,k0_280,280.0,19.792136711768876
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.37994014388489206,2.3746258992805753,364.9032793913027,1139.4698597760425,68.52084921986176,1054.7051740105246,2767.687019209611,0.9256104187063113,0.010536023243790469,0.004003058187220318,0.37593708569767176,0.589557895274977,2.7441816194988897,k0_280,280.0,22.423069960870066
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.3856943884892086,2.410589928057554,371.50588858415244,1155.801646129215,74.78195927324438,1118.9034754477584,2908.7440247265577,0.9680756894532649,0.01244405308415624,0.004799601444620891,0.38089478704458773,0.644971962332558,2.7916738225450084,k0_280,280.0,25.213102579393194
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.3914486330935252,2.4465539568345323,378.2048101631012,1172.8900099446064,81.39773779255438,1176.8939540456358,3030.650279979037,1.0034137421813478,0.014698718135700378,0.005753793122446922,0.38569483997107823,0.7054227101694216,2.840124576636789,k0_280,280.0,28.167149886918196
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.3972028776978416,2.4825179856115103,385.0040806065134,1190.607413085123,88.32623064308402,1226.5639606671493,3127.378917189914,1.0302001710948994,0.01735326085132002,0.006892765147585609,0.390310112550256,0.771113727993453,2.8893888884482886,k0_280,280.0,31.28824594113837
