model,parameter_value,a,b,K0,n,n_over_n0,eps,mu_b,P,dP_dn,d2eps_dn2,vs2,quark_fraction,n_q,n_n,k_bu,k_f,label,target_k0,energy_per_baryon_minus_mn
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.16127884892086328,1.0079928057553955,148.69816061070924,922.2771623565034,0.037362482588607616,36.0624914156957,224.06643568061855,0.039101576931117654,0.0,0.0,0.16127884892086328,0.0,1.539578604681951,k0_315,315.0,-16.005816598599154
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.16703309352517984,1.043956834532374,154.00887856483865,923.6405439722353,0.26030137586438484,41.63821711592601,249.803449763329,0.04508054284500709,0.0,0.0,0.16703309352517984,0.0,1.567588864379123,k0_315,315.0,-15.973859463830195
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.17278733812949637,1.0799208633093522,159.3278678436697,925.1545593089377,0.5165554549339639,47.65973529752643,276.42212485488784,0.05151543038724989,0.0,0.0,0.17278733812949637,0.0,1.5956734722913755,k0_315,315.0,-15.896160861853105
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.1785415827338129,1.1158848920863307,164.65600982696324,926.8246562617247,0.8087929252222762,54.165121619918885,304.0526611966147,0.05844160624555425,0.0,0.0,0.1785415827338129,0.0,1.6238683381841632,k0_315,315.0,-15.772206867638374
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.18429582733812946,1.1518489208633091,169.99421939855284,928.6570621826311,1.1399141725810995,61.19726317257367,332.83577400613945,0.06589866772642765,0.0,0.0,0.18429582733812946,0.0,1.6522089627797585,k0_315,315.0,-15.601365945943598
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.19005007194244602,1.1878129496402876,175.343449605613,930.6588491237876,1.5130809680417214,68.80443076887349,362.92434006856485,0.07393088330235364,0.0,0.0,0.19005007194244602,0.0,1.6807307239221858,k0_315,315.0,-15.38288224003793
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.19580431654676259,1.223776978417266,180.70469672061287,932.8380092709269,1.9317492215908247,77.0409481854009,394.4852929874268,0.08258770270908382,0.0,0.0,0.19580431654676259,0.0,1.709469148842716,k0_315,315.0,-15.115867987228853
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.2015585611510791,1.2597410071942443,186.0790057687102,935.2035420539274,2.399705888856267,85.96797875209873,427.70178652116084,0.0919243511025341,0.0,0.0,0.2015585611510791,0.0,1.73846017836437,k0_315,315.0,-14.799294924347691
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.20731280575539565,1.2957050359712228,191.46747659221592,937.7655546535626,2.9211107773473497,95.65447259136043,462.7756873483857,0.1020025443637647,0.0,0.0,0.20731280575539565,0.0,1.767740428336826,k0_315,315.0,-14.431984533918921
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.2130670503597122,1.3316690647482012,196.87127053466858,940.5353779862013,3.500544354431431,106.1783839895744,499.9304619726216,0.11289143021596382,3.618467921178522e-06,7.709762867867473e-07,0.21306627938342543,0.008219955721984707,1.797343520104234,k0_315,315.0,-14.012596962791577
